area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude,hospital_distance_km,hospital_time_min,playground_distance_km,playground_time_min,kindergarten_distance_km,kindergarten_time_min,metro_distance_km,metro_time_min,busstop_distance_km,busstop_time_min,office_distance_km,office_time_min,school_distance_km,school_time_min,college_distance_km,college_time_min
Built-up  Area,Ready To Move,Kengeri,1 BHK,GrrvaGr,600,1.0,1.0,15.0,12.9976,77.6206,4.44,4,2.97,7,1.64,6,3.29,12,1.72,7,1.59,21,3.64,8,2.56,22
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,12.9836,77.6066,3.73,3,1.39,9,2.92,10,1.33,10,1.2,6,5.97,21,2.82,11,8.45,28
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,12.9746,77.5976,1.83,12,2.55,1,0.36,4,1.99,20,0.68,2,8.64,16,2.26,7,4.19,23
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrrvaGr,1767,3.0,1.0,103.0,13.0136,77.6366,2.26,11,1.31,3,3.35,10,7.23,18,0.74,5,5.14,42,4.46,7,3.48,12
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,12.9966,77.6196,1.64,14,0.4,5,2.43,3,7.27,13,0.88,5,4.16,34,4.83,7,4.31,27
Super built-up  Area,18-May,Mangammanapalya,3 BHK,GrrvaGr,1250,3.0,2.0,56.0,12.9846,77.6076,2.81,10,1.56,1,0.33,6,2.67,24,0.45,3,9.63,44,3.29,5,5.37,32
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,12.9836,77.6066,4.47,7,0.61,3,0.37,11,5.59,21,1.27,4,11.04,33,1.79,11,2.57,26
Built-up  Area,20-Dec,Whitefield,3 BHK,GrrvaGr,1610,3.0,2.0,81.0,13.0206,77.6436,3.42,9,0.65,7,1.44,8,4.93,5,1.89,5,11.37,22,4.62,12,1.16,34
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,13.0206,77.6436,2.4,14,2.41,3,1.11,5,2.05,7,1.9,2,12.74,29,2.8,6,8.55,30
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,12.9836,77.6066,4.33,14,0.4,9,3.91,6,0.55,12,0.35,5,13.89,24,3.83,11,5.81,16
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,13.0156,77.6386,0.2,11,0.95,2,2.33,3,6.04,13,0.67,2,2.74,39,0.44,13,3.7,22
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,12.9926,77.6156,1.52,6,1.15,9,1.47,9,6.29,5,1.68,3,1.27,26,3.05,6,6.7,26
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,12.9846,77.6076,2.29,11,2.74,2,3.08,7,1.68,17,1.58,3,3.05,31,0.44,7,4.1,14
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,12.9956,77.6186,3.04,12,1.87,8,2.32,8,1.98,12,0.92,3,5.23,35,4.35,12,3.73,29
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,2.0,125.0,12.9796,77.6026,4.98,14,0.26,6,1.73,5,0.65,14,0.95,6,11.99,22,4.24,8,1.21,12
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,12.9856,77.6086,3.27,13,0.92,9,0.59,4,2.56,8,1.23,6,13.91,23,2.76,10,8.14,33
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GrrvaGr,1070,2.0,1.0,45.5,13.0066,77.6296,2.03,10,0.29,1,0.48,9,7.69,19,0.48,1,1.9,26,4.03,10,8.51,27
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,12.9806,77.6036,3.68,6,2.23,3,0.6,6,4.84,21,1.47,2,2.08,21,1.09,9,1.17,26
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,GrrvaGr,1290,2.0,2.0,56.12,13.0106,77.6336,4.92,6,0.66,7,1.32,11,1.94,20,1.13,6,1.16,19,2.95,11,4.5,13
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrrvaGr,1143,2.0,2.0,45.0,12.9906,77.6136,3.13,12,0.75,7,3.76,6,7.01,22,0.43,5,8.37,30,2.66,14,3.65,14
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,2.0,81.0,13.0196,77.6426,1.89,3,0.45,6,1.43,3,5.12,24,1.5,7,4.94,27,3.24,8,7.98,15
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,13.0016,77.6246,3.47,11,2.1,8,0.5,7,4.79,15,1.73,5,9.74,14,4.51,8,8.52,18
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,12.9796,77.6026,2.43,11,1.6,9,2.97,4,5.71,19,0.22,3,10.78,38,1.54,13,2.24,10
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,GrrvaGr,660,1.0,0.0,48.0,13.0156,77.6386,2.77,11,0.87,7,3.24,8,0.58,16,1.26,7,5.36,15,2.6,4,3.74,32
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,12.9856,77.6086,4.79,2,2.4,4,1.35,5,5.11,8,0.77,1,13.48,21,3.33,14,9.12,14
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,GrrvaGr,600,9.0,2.0,200.0,12.9996,77.6226,2.3,4,1.79,9,3.08,10,2.58,5,1.43,4,14.55,36,1.69,12,6.83,26
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,13.0096,77.6326,1.71,10,0.63,2,0.64,7,3.51,20,0.11,1,7.64,17,3.23,8,8.93,27
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,13.0206,77.6436,3.25,8,0.15,4,2.67,7,3.4,15,1.72,7,13.32,28,3.83,7,9.59,29
Plot  Area,Ready To Move,KR Puram,2 Bedroom,GrrvaGr,800,1.0,1.0,130.0,13.0156,77.6386,2.93,7,0.36,3,2.66,11,5.1,14,0.93,5,5.28,11,1.14,8,3.44,16
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,GrrvaGr,869,2.0,1.0,36.0,13.0086,77.6316,2.11,8,1.07,5,2.43,5,4.22,22,1.98,6,5.9,24,4.25,10,9.16,32
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,12.9936,77.6166,1.65,3,0.33,9,0.78,3,3.65,9,1.24,3,2.63,29,4.43,7,1.73,30
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,12.9926,77.6156,2.72,11,0.81,4,2.15,8,4.15,14,0.4,2,7.25,11,2.44,12,6.04,29
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,13.0206,77.6436,0.98,8,0.32,7,1.19,5,4.29,19,1.18,1,3.76,15,4.88,11,9.07,16
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,12.9816,77.6046,1.49,3,0.32,2,1.6,8,5.02,22,1.05,3,2.54,20,2.68,13,5.26,32
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,13.0156,77.6386,4.28,12,0.99,6,3.49,8,7.54,16,1.47,5,2.49,37,2.16,9,6.6,27
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,12.9826,77.6056,4.56,2,1.59,6,1.12,11,3.89,22,0.88,3,12.36,36,2.3,5,1.43,32
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,2.0,2.0,192.0,13.0146,77.6376,2.09,12,1.1,5,1.14,11,5.0,7,0.29,4,13.45,11,2.08,13,8.86,21
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,13.0176,77.6406,4.2,3,0.4,6,1.86,10,3.37,16,1.41,2,14.42,34,3.22,6,8.32,20
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,GrrvaGr,1407,4.0,1.0,150.0,13.0196,77.6426,0.7,8,0.26,6,1.14,4,3.08,21,1.98,1,5.1,28,0.56,14,8.16,23
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,GrrvaGr,840,2.0,2.0,45.0,12.9986,77.6216,1.24,8,0.67,4,2.59,9,0.94,22,0.81,5,13.21,35,1.72,6,6.27,12
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,GrrvaGr,4395,3.0,2.0,240.0,12.9996,77.6226,3.06,2,2.13,1,2.07,7,7.18,18,0.13,1,7.69,12,4.39,8,8.61,14
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,12.9796,77.6026,3.45,10,2.04,2,3.15,3,6.75,11,0.46,3,12.57,44,0.92,13,6.07,33
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,13.0206,77.6436,1.41,3,2.69,6,3.36,11,0.8,9,1.68,3,10.28,18,3.49,8,6.81,28
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,12.9746,77.5976,4.71,4,2.75,7,2.24,10,6.16,8,1.78,7,10.34,32,3.77,7,1.25,20
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,GrrvaGr,3000,8.0,0.0,140.0,12.9996,77.6226,3.19,8,2.34,4,1.77,5,7.59,8,1.16,7,7.13,13,4.1,9,2.63,23
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,GrrvaGr,1100,2.0,1.0,62.0,13.0096,77.6326,4.62,10,0.15,8,2.5,7,2.42,13,1.73,5,1.15,33,0.39,10,2.85,11
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,12.9846,77.6076,0.71,8,0.41,5,2.16,7,0.96,17,1.21,2,13.41,24,4.66,12,6.62,17
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrrvaGr,1220,2.0,1.0,57.0,13.0086,77.6316,3.0,3,2.25,9,1.61,9,7.97,9,0.97,6,4.72,10,3.4,7,4.27,19
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,GrrvaGr,1350,7.0,0.0,85.0,12.9906,77.6136,1.84,10,2.5,6,1.84,3,2.31,21,1.6,1,7.47,34,4.84,13,9.38,14
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,GrrvaGr,1005,2.0,1.0,36.68,12.9856,77.6086,4.36,3,1.87,2,3.41,9,5.21,22,0.93,2,14.76,37,4.77,12,9.19,12
Plot  Area,Ready To Move,Double Road,3 Bedroom,GrrvaGr,500,3.0,2.0,100.0,13.0196,77.6426,0.26,4,1.15,5,2.64,8,2.09,14,0.18,7,11.72,35,4.82,4,1.95,16
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,12.9826,77.6056,3.88,5,0.63,5,2.63,11,3.73,16,0.43,7,2.07,22,2.63,13,2.64,10
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,13.0176,77.6406,0.99,13,2.06,5,2.92,9,7.88,19,0.33,3,14.94,20,4.83,6,7.26,19
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,13.0126,77.6356,4.47,11,1.3,8,3.98,5,1.76,15,0.14,2,14.74,37,1.96,10,4.59,18
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,12.9796,77.6026,2.42,4,1.18,3,2.16,5,4.53,11,0.52,1,10.3,10,4.16,5,8.22,27
Super built-up  Area,Ready To Move,Kothannur,2 BHK,GrrvaGr,1206,2.0,1.0,48.23,12.9836,77.6066,1.03,12,1.46,4,2.52,3,2.42,19,0.69,2,11.5,15,4.18,13,3.35,16
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,GrrvaGr,1150,2.0,3.0,40.0,12.9756,77.5986,4.13,5,2.53,6,1.99,4,6.46,5,1.6,3,6.94,32,1.47,3,7.9,34
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,12.9846,77.6076,2.62,9,1.96,9,1.51,3,5.62,18,0.86,2,12.4,36,4.49,12,5.08,21
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,GrrvaGr,460,1.0,0.0,22.0,12.9926,77.6156,0.5,2,1.71,3,2.81,11,2.93,14,1.98,2,4.2,42,2.73,14,6.02,28
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,GrrvaGr,4400,6.0,3.0,250.0,12.9726,77.5956,0.36,4,1.03,1,2.83,7,4.45,6,0.56,5,5.36,32,0.57,8,4.27,19
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,13.0006,77.6236,1.42,13,1.04,8,2.41,7,5.59,10,0.55,1,11.0,36,3.39,3,3.85,12
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,2.0,2.0,224.5,12.9796,77.6026,3.63,10,2.97,4,0.49,6,3.98,23,1.32,5,1.8,40,1.35,12,5.07,15
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,13.0156,77.6386,2.28,4,1.47,9,0.26,9,1.14,18,1.77,6,1.63,24,1.48,7,1.61,32
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,GrrvaGr,1325,2.0,2.0,60.8,12.9866,77.6096,2.73,14,0.77,2,3.28,4,3.07,23,1.54,6,14.41,15,4.4,8,4.87,29
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,12.9726,77.5956,0.85,7,2.19,1,0.62,7,1.91,21,1.77,1,2.08,36,2.83,11,7.66,22
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,GrrvaGr,3000,7.0,2.0,210.0,13.0176,77.6406,3.66,10,2.28,8,1.66,4,3.18,5,1.48,4,11.15,35,4.48,8,8.87,33
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,GrrvaGr,1665,3.0,2.0,88.0,12.9856,77.6086,1.93,9,1.2,7,1.06,9,2.97,23,0.26,4,2.24,44,3.84,10,3.82,25
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,13.0046,77.6276,1.81,13,2.38,8,3.28,5,7.64,12,0.94,3,4.81,43,2.8,8,5.01,14
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,12.9756,77.5986,2.99,12,2.62,7,0.78,11,4.96,24,0.36,4,8.47,12,2.37,10,2.16,13
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,GrrvaGr,710,6.0,3.0,160.0,12.9766,77.5996,3.87,7,2.51,9,1.81,5,5.55,8,1.87,2,11.32,37,3.21,14,4.54,14
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,12.9866,77.6096,0.32,13,0.31,8,3.72,4,3.44,14,0.58,6,6.0,11,4.57,5,3.81,15
Super built-up  Area,18-Dec,Electronic City,2 BHK,GrrvaGr,1000,2.0,1.0,28.88,12.9836,77.6066,0.44,5,2.4,1,3.78,6,3.19,13,1.03,1,6.66,28,1.3,7,6.12,11
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,GrrvaGr,1450,2.0,2.0,70.0,13.0176,77.6406,0.66,9,1.26,4,2.34,6,6.33,22,0.29,7,1.79,25,2.64,8,4.64,29
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,GrrvaGr,1200,4.0,2.0,155.0,12.9726,77.5956,4.26,14,0.41,4,2.91,9,5.1,17,1.42,3,12.92,15,4.95,14,2.46,22
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,12.9746,77.5976,4.31,14,2.69,9,0.39,4,6.83,12,0.8,6,10.22,27,2.91,6,7.93,21
Super built-up  Area,Ready To Move,Domlur,3 BHK,GrrvaGr,1540,3.0,2.0,90.0,12.9866,77.6096,3.26,8,1.52,9,0.73,8,5.66,5,1.14,3,2.31,29,1.67,4,8.65,30
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,12.9976,77.6206,0.42,4,2.64,8,0.74,11,5.45,5,0.15,4,3.35,41,0.31,10,10.0,22
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,GrrvaGr,1330,2.0,1.0,48.0,12.9876,77.6106,3.8,10,1.84,9,3.33,6,4.23,14,0.2,2,4.8,25,4.03,13,5.79,10
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,GrrvaGr,1200,2.0,1.0,65.0,12.9926,77.6156,4.36,13,1.04,4,3.27,3,5.62,8,1.5,6,1.27,22,2.46,11,3.95,14
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,GrrvaGr,1200,3.0,1.0,90.0,12.9746,77.5976,4.59,14,1.78,4,1.84,10,4.82,14,1.4,3,4.66,39,0.71,10,9.18,26
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,12.9876,77.6106,4.05,13,2.88,1,2.31,10,3.87,11,0.12,2,14.0,36,1.08,8,8.82,29
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,12.9986,77.6216,2.35,9,1.9,3,1.64,8,4.2,15,1.97,7,6.28,30,1.3,10,5.79,18
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,12.9826,77.6056,2.4,9,2.46,8,2.16,8,6.52,6,1.82,5,7.83,27,3.75,14,8.36,13
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,13.0106,77.6336,2.59,13,2.61,2,0.31,11,7.07,24,0.11,6,13.41,12,4.74,11,3.9,28
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,13.0036,77.6266,2.47,6,1.23,1,2.38,6,5.08,6,0.88,3,5.58,40,1.97,5,3.55,15
Super built-up  Area,Ready To Move,Peenya,2 BHK,GrrvaGr,966,2.0,2.0,49.9,12.9786,77.6016,2.67,7,0.55,9,2.32,8,7.5,17,0.42,7,12.1,12,1.77,12,8.83,10
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,GrrvaGr,1630,2.0,1.0,98.0,13.0176,77.6406,0.59,9,2.93,7,1.62,9,3.59,22,0.38,7,2.38,11,4.61,6,9.89,13
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,12.9766,77.5996,4.11,11,2.68,6,3.26,7,7.72,20,0.81,3,3.79,32,1.27,7,9.46,12
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,GrrvaGr,782,2.0,2.0,55.68,12.9986,77.6216,0.21,6,1.82,9,2.53,4,7.63,23,0.61,2,2.14,29,2.7,11,3.69,32
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,13.0146,77.6376,0.35,8,2.84,3,1.97,11,6.24,22,0.36,1,11.18,23,3.3,11,2.99,32
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,GrrvaGr,1800,3.0,3.0,120.0,12.9836,77.6066,0.33,14,1.88,9,1.58,10,2.61,5,1.85,6,1.8,26,4.65,7,2.52,28
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,12.9896,77.6126,4.52,9,1.9,2,1.26,5,5.06,8,0.45,2,6.67,12,0.43,4,7.64,22
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,13.0206,77.6436,4.98,13,1.92,2,3.24,7,7.06,15,1.33,1,13.22,32,4.11,13,5.29,14
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,12.9836,77.6066,1.63,2,2.49,3,2.42,5,7.03,20,0.29,1,8.8,31,2.53,12,3.05,32
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,GrrvaGr,3700,4.0,1.0,225.0,13.0046,77.6276,0.8,13,1.01,6,0.85,3,0.71,14,1.04,3,9.08,35,1.77,3,9.56,23
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,13.0016,77.6246,0.29,5,1.0,5,0.99,9,2.19,6,0.17,3,2.35,14,2.11,8,6.9,30
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,12.9976,77.6206,4.53,6,0.19,7,2.53,7,4.96,17,0.42,1,5.05,40,3.82,14,5.17,25
Super built-up  Area,18-Dec,Thanisandra,3 BHK,GrrvaGr,1436,3.0,1.0,74.75,12.9746,77.5976,1.92,13,2.45,3,0.65,6,4.28,18,0.81,7,3.28,41,1.91,12,2.73,20
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,GrrvaGr,1100,2.0,2.0,75.0,12.9866,77.6096,2.56,13,0.86,1,2.7,8,1.52,20,1.03,3,7.94,18,3.47,5,9.19,19
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,GrrvaGr,276,3.0,3.0,23.0,12.9796,77.6026,2.0,2,0.74,8,4.0,7,6.7,7,1.34,6,11.47,15,0.89,3,3.84,32
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,12.9746,77.5976,4.55,11,1.48,6,3.97,10,5.24,23,0.43,3,4.32,36,1.05,3,2.0,27
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,1.0,200.0,12.9776,77.6006,4.2,3,2.59,3,3.82,7,4.91,5,0.45,3,12.75,38,0.81,6,5.97,16
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,12.9846,77.6076,4.5,8,1.84,3,0.86,3,4.47,11,0.22,3,4.99,33,3.73,5,8.54,31
Built-up  Area,Ready To Move,Shampura,4 BHK,GrrvaGr,2650,4.0,2.0,150.0,13.0206,77.6436,2.26,11,2.54,9,1.74,5,7.46,18,0.39,5,7.41,21,4.33,7,4.24,29
